,open,high,low,close,volume
2025-06-30 09:30:00,202.01,202.19,200.82,200.895,1854112
2025-06-30 09:35:00,200.91,201.235,200.5501,201.04,938601
2025-06-30 09:40:00,201.02,201.45,200.78,201.0793,852672
2025-06-30 09:45:00,201.09,201.19,200.66,200.8,735125
2025-06-30 09:50:00,200.8,201.089,200.64,200.81,573598
2025-06-30 09:55:00,200.82,200.91,200.62,200.76,564423
2025-06-30 10:00:00,200.755,200.91,200.3524,200.4826,818790
2025-06-30 10:05:00,200.49,200.85,200.45,200.81,594171
2025-06-30 10:10:00,200.82,201.3711,200.8073,201.08,884258
2025-06-30 10:15:00,201.07,201.07,200.76,200.89,450841
2025-06-30 10:20:00,200.865,201.12,200.84,201.02,453107
2025-06-30 10:25:00,201.01,201.03,200.78,201.0099,449672
2025-06-30 10:30:00,201.005,201.32,200.94,201.12,555730
2025-06-30 10:35:00,201.125,201.185,200.85,200.86,502798
2025-06-30 10:40:00,200.855,200.86,200.12,200.16,881093
2025-06-30 10:45:00,200.1552,200.21,199.87,199.94,1042019
2025-06-30 10:50:00,199.9401,200.045,199.5901,199.72,946489
2025-06-30 10:55:00,199.715,199.99,199.68,199.97,638891
2025-06-30 11:00:00,199.97,199.99,199.63,199.845,592192
2025-06-30 11:05:00,199.84,200.24,199.84,200.1501,597226
2025-06-30 11:10:00,200.16,200.28,199.97,200.07,431990
2025-06-30 11:15:00,200.08,200.1285,199.86,200.0776,363711
2025-06-30 11:20:00,200.08,200.2853,199.95,200.09,430926
2025-06-30 11:25:00,200.09,200.15,199.87,199.97,364667
2025-06-30 11:30:00,199.98,200.16,199.8,200.13,439378
2025-06-30 11:35:00,200.12,200.13,199.81,199.915,999009
2025-06-30 11:40:00,199.91,200.1,199.8594,200.06,269178
2025-06-30 11:45:00,200.07,200.23,199.98,200.015,310934
2025-06-30 11:50:00,200.02,200.2,200.01,200.1877,272551
2025-06-30 11:55:00,200.18,200.22,199.821,200.035,338271
2025-06-30 12:00:00,200.04,200.23,199.99,200.2243,296999
2025-06-30 12:05:00,200.21,200.4,200.14,200.4,283263
2025-06-30 12:10:00,200.4,200.42,200.245,200.32,722716
2025-06-30 12:15:00,200.31,200.41,200.12,200.185,267130
2025-06-30 12:20:00,200.18,200.2199,200.041,200.185,248130
2025-06-30 12:25:00,200.19,200.4,200.14,200.31,262733
2025-06-30 12:30:00,200.31,200.3999,200.15,200.36,266904
2025-06-30 12:35:00,200.3748,200.451,200.18,200.26,279482
