,open,high,low,close,volume
2025-06-30 09:30:00,202.01,202.19,201.72,201.9175,947489
2025-06-30 09:31:00,201.8701,202.02,201.45,201.555,249028
2025-06-30 09:32:00,201.555,201.58,201.26,201.39,159490
2025-06-30 09:33:00,201.39,201.41,201.05,201.11,203506
2025-06-30 09:34:00,201.09,201.12,200.82,200.895,294599
2025-06-30 09:35:00,200.91,201.23,200.715,201.2,224839
2025-06-30 09:36:00,201.2,201.235,200.77,200.84,171229
2025-06-30 09:37:00,200.85,200.875,200.5501,200.66,202788
2025-06-30 09:38:00,200.65,201.01,200.57,200.995,168514
2025-06-30 09:39:00,200.9894,201.2,200.9894,201.04,171231
2025-06-30 09:40:00,201.02,201.39,201.0101,201.33,169715
2025-06-30 09:41:00,201.33,201.45,201.0873,201.45,172332
2025-06-30 09:42:00,201.45,201.45,200.98,200.98,155264
2025-06-30 09:43:00,201.015,201.2575,200.78,201.17,256877
2025-06-30 09:44:00,201.17,201.21,201.01,201.0793,98484
2025-06-30 09:45:00,201.09,201.19,200.81,201.12,227883
2025-06-30 09:46:00,201.115,201.18,200.955,200.995,113365
2025-06-30 09:47:00,201.0,201.0,200.7533,200.7987,117077
2025-06-30 09:48:00,200.78,200.89,200.71,200.77,130191
2025-06-30 09:49:00,200.76,200.8499,200.66,200.8,146609
2025-06-30 09:50:00,200.8,200.89,200.64,200.8399,111173
2025-06-30 09:51:00,200.84,200.98,200.82,200.86,99691
2025-06-30 09:52:00,200.865,201.0,200.7599,200.9856,91558
2025-06-30 09:53:00,200.97,201.089,200.9,200.98,200694
2025-06-30 09:54:00,200.985,200.985,200.8,200.81,70482
2025-06-30 09:55:00,200.82,200.91,200.8,200.84,85126
2025-06-30 09:56:00,200.82,200.84,200.7199,200.82,92944
2025-06-30 09:57:00,200.81,200.83,200.7,200.72,82781
2025-06-30 09:58:00,200.72,200.7651,200.62,200.7355,122454
2025-06-30 09:59:00,200.735,200.8,200.685,200.76,181118
2025-06-30 10:00:00,200.755,200.8798,200.685,200.8,113065
2025-06-30 10:01:00,200.8,200.91,200.77,200.785,146517
2025-06-30 10:02:00,200.78,200.8,200.62,200.66,110320
2025-06-30 10:03:00,200.675,200.69,200.43,200.52,285102
2025-06-30 10:04:00,200.525,200.57,200.3524,200.4826,163786
2025-06-30 10:05:00,200.49,200.7676,200.45,200.7,147291
2025-06-30 10:06:00,200.71,200.815,200.67,200.72,114525
2025-06-30 10:07:00,200.72,200.85,200.71,200.82,120218
2025-06-30 10:08:00,200.83,200.84,200.7,200.7499,96402
2025-06-30 10:09:00,200.745,200.85,200.745,200.81,115735
2025-06-30 10:10:00,200.82,201.1423,200.8073,201.1423,255404
2025-06-30 10:11:00,201.1301,201.17,200.99,201.14,188748
2025-06-30 10:12:00,201.145,201.3711,201.11,201.31,244715
2025-06-30 10:13:00,201.31,201.315,201.02,201.09,120154
2025-06-30 10:14:00,201.07,201.08,200.9,201.08,75237
2025-06-30 10:15:00,201.07,201.07,200.82,200.9,101310
2025-06-30 10:16:00,200.9099,200.91,200.76,200.8,97430
2025-06-30 10:17:00,200.7848,200.86,200.7682,200.84,77994
2025-06-30 10:18:00,200.825,200.92,200.825,200.87,90969
2025-06-30 10:19:00,200.85,200.93,200.85,200.89,83138
2025-06-30 10:20:00,200.865,200.99,200.84,200.97,77674
2025-06-30 10:21:00,200.975,201.12,200.885,200.97,132529
2025-06-30 10:22:00,200.9732,201.0544,200.96,200.995,78476
2025-06-30 10:23:00,201.01,201.05,200.92,200.935,105034
2025-06-30 10:24:00,200.935,201.03,200.855,201.02,59394
2025-06-30 10:25:00,201.01,201.03,200.855,200.87,70964
2025-06-30 10:26:00,200.87,200.9865,200.83,200.98,118499
2025-06-30 10:27:00,200.98,201.0,200.9,200.949,62171
2025-06-30 10:28:00,200.94,200.945,200.78,200.885,100670
2025-06-30 10:29:00,200.885,201.03,200.85,201.0099,97368
2025-06-30 10:30:00,201.005,201.06,200.94,200.9987,74851
2025-06-30 10:31:00,200.995,201.025,200.955,200.985,84442
2025-06-30 10:32:00,200.99,201.3,200.97,201.265,156987
2025-06-30 10:33:00,201.265,201.32,201.22,201.249,140366
2025-06-30 10:34:00,201.25,201.2645,201.06,201.12,99084
2025-06-30 10:35:00,201.125,201.16,201.06,201.11,74501
2025-06-30 10:36:00,201.12,201.165,201.01,201.16,83011
2025-06-30 10:37:00,201.16,201.185,201.0414,201.05,102199
2025-06-30 10:38:00,201.05,201.075,200.9,200.94,137062
2025-06-30 10:39:00,200.95,200.9799,200.85,200.86,106025
2025-06-30 10:40:00,200.855,200.86,200.64,200.7,180288
2025-06-30 10:41:00,200.7,200.745,200.535,200.58,149331
2025-06-30 10:42:00,200.57,200.63,200.51,200.59,115746
2025-06-30 10:43:00,200.59,200.59,200.22,200.301,230830
2025-06-30 10:44:00,200.3065,200.32,200.12,200.16,204898
2025-06-30 10:45:00,200.1552,200.21,200.065,200.135,156873
2025-06-30 10:46:00,200.13,200.21,200.07,200.075,143390
2025-06-30 10:47:00,200.07,200.07,199.94,200.01,415938
2025-06-30 10:48:00,200.0,200.1,199.9,199.9197,162495
2025-06-30 10:49:00,199.92,200.005,199.87,199.94,163323
2025-06-30 10:50:00,199.9401,200.045,199.91,199.91,156396
2025-06-30 10:51:00,199.91,199.93,199.75,199.8601,244915
2025-06-30 10:52:00,199.8698,199.87,199.77,199.79,150310
2025-06-30 10:53:00,199.79,199.81,199.66,199.7,226719
2025-06-30 10:54:00,199.7,199.73,199.5901,199.72,168149
2025-06-30 10:55:00,199.715,199.82,199.68,199.811,148644
2025-06-30 10:56:00,199.81,199.99,199.79,199.905,135052
2025-06-30 10:57:00,199.9,199.95,199.84,199.92,122990
2025-06-30 10:58:00,199.9207,199.94,199.795,199.8,89346
2025-06-30 10:59:00,199.81,199.98,199.75,199.97,142859
2025-06-30 11:00:00,199.97,199.99,199.8146,199.8502,121713
2025-06-30 11:01:00,199.855,199.855,199.63,199.691,164343
2025-06-30 11:02:00,199.7,199.9,199.69,199.8602,99312
2025-06-30 11:03:00,199.861,199.93,199.81,199.93,88625
2025-06-30 11:04:00,199.93,199.94,199.78,199.845,118199
2025-06-30 11:05:00,199.84,200.0577,199.84,200.02,157243
2025-06-30 11:06:00,200.0258,200.11,200.025,200.0578,130824
2025-06-30 11:07:00,200.06,200.1,199.85,200.05,102291
2025-06-30 11:08:00,200.03,200.17,200.03,200.105,92845
2025-06-30 11:09:00,200.11,200.24,200.11,200.1501,114023
2025-06-30 11:10:00,200.16,200.26,200.085,200.2,105883
2025-06-30 11:11:00,200.1947,200.2335,200.13,200.23,66356
2025-06-30 11:12:00,200.22,200.28,200.06,200.09,68231
2025-06-30 11:13:00,200.08,200.11,200.0,200.0348,96875
2025-06-30 11:14:00,200.02,200.13,199.97,200.07,94645
2025-06-30 11:15:00,200.08,200.1081,199.91,200.02,117238
2025-06-30 11:16:00,200.015,200.05,199.97,200.02,45622
