,open,high,low,close,volume
2025-06-30 09:30:00,274.73,276.4699,274.51,276.41,716356
2025-06-30 09:31:00,276.36,276.6799,274.255,275.39,237021
2025-06-30 09:32:00,275.37,275.46,272.57,272.705,221921
2025-06-30 09:33:00,272.7108,273.17,272.13,273.0,100606
2025-06-30 09:34:00,272.92,273.2,272.36,272.49,121654
2025-06-30 09:35:00,272.58,273.2889,272.2801,272.81,80608
2025-06-30 09:36:00,272.82,273.4499,272.58,272.6425,111493
2025-06-30 09:37:00,272.54,272.6601,272.1917,272.42,73990
2025-06-30 09:38:00,272.42,273.1642,272.35,273.1642,72057
2025-06-30 09:39:00,273.075,274.13,273.0405,274.065,78836
2025-06-30 09:40:00,274.065,274.18,273.53,273.98,88097
2025-06-30 09:41:00,274.005,274.8799,273.99,274.8079,95688
2025-06-30 09:42:00,274.71,274.79,274.24,274.42,85140
2025-06-30 09:43:00,274.42,274.58,273.92,273.955,173962
2025-06-30 09:44:00,273.995,273.995,273.42,273.7997,46186
2025-06-30 09:45:00,273.795,274.3799,273.7,274.13,70793
2025-06-30 09:46:00,274.215,274.73,274.215,274.51,63603
2025-06-30 09:47:00,274.5596,274.58,274.19,274.3475,59327
2025-06-30 09:48:00,274.345,274.88,274.18,274.77,81739
2025-06-30 09:49:00,274.78,274.9,274.5,274.7585,70153
2025-06-30 09:50:00,274.765,275.13,274.17,274.22,102372
2025-06-30 09:51:00,274.22,274.32,273.94,274.056,35537
2025-06-30 09:52:00,274.2,274.46,274.14,274.29,57451
2025-06-30 09:53:00,274.28,274.3973,273.93,274.17,52534
2025-06-30 09:54:00,274.01,274.17,273.91,274.035,72011
2025-06-30 09:55:00,274.06,274.3405,273.82,274.1212,40899
2025-06-30 09:56:00,274.18,274.47,273.7,273.78,129995
2025-06-30 09:57:00,273.84,273.87,273.52,273.79,68425
2025-06-30 09:58:00,273.78,274.48,273.78,274.22,65599
2025-06-30 09:59:00,274.235,274.61,274.19,274.3,95583
2025-06-30 10:00:00,274.3,274.6,274.05,274.15,54797
2025-06-30 10:01:00,274.0,274.4596,273.93,274.26,42659
2025-06-30 10:02:00,274.24,274.43,274.16,274.2101,45120
2025-06-30 10:03:00,274.285,274.285,273.9,273.975,40984
2025-06-30 10:04:00,274.02,274.05,273.75,273.98,29061
2025-06-30 10:05:00,273.895,273.9783,273.26,273.43,26437
2025-06-30 10:06:00,273.4125,273.44,273.1,273.125,30578
2025-06-30 10:07:00,273.12,273.3799,273.02,273.365,28119
2025-06-30 10:08:00,273.38,273.55,273.17,273.47,54692
2025-06-30 10:09:00,273.37,273.47,273.13,273.38,50755
2025-06-30 10:10:00,273.35,273.56,273.15,273.265,55145
2025-06-30 10:11:00,273.3035,273.4,273.25,273.265,28173
2025-06-30 10:12:00,273.265,273.599,273.265,273.599,48000
2025-06-30 10:13:00,273.545,273.58,273.12,273.3425,50797
2025-06-30 10:14:00,273.34,273.34,272.91,273.26,127412
2025-06-30 10:15:00,273.27,273.6131,272.995,273.48,49692
2025-06-30 10:16:00,273.47,273.63,273.21,273.375,34998
2025-06-30 10:17:00,273.42,273.42,273.15,273.215,33896
2025-06-30 10:18:00,273.21,273.39,273.14,273.275,44884
2025-06-30 10:19:00,273.275,273.48,273.17,273.3668,55108
2025-06-30 10:20:00,273.31,273.38,272.91,273.07,66731
2025-06-30 10:21:00,273.07,273.1198,272.56,272.83,52086
2025-06-30 10:22:00,272.83,273.5,272.83,273.385,34640
2025-06-30 10:23:00,273.385,273.4299,273.12,273.2,43114
2025-06-30 10:24:00,273.2,273.27,272.7,272.98,90880
2025-06-30 10:25:00,272.965,273.14,272.88,272.9968,37764
2025-06-30 10:26:00,273.08,273.29,273.0,273.145,43100
2025-06-30 10:27:00,273.1692,273.5,273.14,273.36,24849
2025-06-30 10:28:00,273.36,273.52,273.29,273.52,28241
2025-06-30 10:29:00,273.485,273.66,273.44,273.52,25381
2025-06-30 10:30:00,273.58,273.76,273.575,273.69,36864
2025-06-30 10:31:00,273.7,273.76,273.54,273.63,33994
2025-06-30 10:32:00,273.6699,273.77,273.51,273.565,27075
2025-06-30 10:33:00,273.61,273.8,273.56,273.8,27963
2025-06-30 10:34:00,273.755,273.8,273.63,273.66,40094
2025-06-30 10:35:00,273.66,273.71,273.4,273.65,36989
2025-06-30 10:36:00,273.66,273.8,273.61,273.76,22987
2025-06-30 10:37:00,273.79,273.79,273.59,273.6,23639
2025-06-30 10:38:00,273.57,273.8,273.5326,273.68,42058
2025-06-30 10:39:00,273.635,273.81,273.5,273.76,68883
2025-06-30 10:40:00,273.74,273.78,273.54,273.74,39261
2025-06-30 10:41:00,273.78,274.32,273.755,274.32,55831
