,open,high,low,close,volume
2025-06-30 09:30:00,497.04,498.0,495.58,496.875,2353054
2025-06-30 10:00:00,496.875,496.95,495.625,496.0577,1280434
2025-06-30 10:30:00,496.075,497.02,495.33,496.56,906815
2025-06-30 11:00:00,496.64,497.51,496.49,497.3875,1995710
2025-06-30 11:30:00,497.43,499.31,497.25,498.57,1330762
2025-06-30 12:00:00,498.59,499.18,497.76,497.83,909003
2025-06-30 12:30:00,497.815,498.76,497.73,498.035,714936
2025-06-30 13:00:00,498.035,498.13,497.27,497.6794,465045
2025-06-30 13:30:00,497.6751,498.08,496.94,497.565,531511
2025-06-30 14:00:00,497.56,498.33,497.28,498.03,564720
2025-06-30 14:30:00,498.065,498.85,497.69,498.7775,664990
2025-06-30 15:00:00,498.75,499.39,498.47,499.045,847187
2025-06-30 15:30:00,499.045,500.76,497.16,497.16,3696198
2025-07-01 09:30:00,496.47,498.05,495.64,497.465,1856991
2025-07-01 10:00:00,497.38,498.02,496.42,497.155,1083823
2025-07-01 10:30:00,497.13,497.14,495.27,495.3925,1418431
2025-07-01 11:00:00,495.372,495.59,491.82,493.805,1986677
2025-07-01 11:30:00,493.81,493.95,491.81,491.845,858985
2025-07-01 12:00:00,491.845,492.645,490.98,491.88,1245586
2025-07-01 12:30:00,491.85,494.05,491.59,493.49,833824
2025-07-01 13:00:00,493.49,493.86,493.0245,493.2542,742136
2025-07-01 13:30:00,493.28,493.35,492.23,493.2574,671245
2025-07-01 14:00:00,493.25,493.31,492.34,492.55,547288
2025-07-01 14:30:00,492.54,492.94,492.2813,492.375,549504
2025-07-01 15:00:00,492.36,492.52,491.19,492.29,1351711
2025-07-01 15:30:00,492.295,493.15,491.805,492.1,2123176
2025-07-02 09:30:00,489.99,493.5,488.7,491.015,2171039
2025-07-02 10:00:00,490.99,491.95,490.31,491.765,1148876
2025-07-02 10:30:00,491.8,492.6487,491.12,491.81,944634
2025-07-02 11:00:00,491.81,492.76,491.81,491.935,1132382
2025-07-02 11:30:00,491.96,492.39,491.24,491.68,745634
2025-07-02 12:00:00,491.68,492.69,491.64,492.176,603620
2025-07-02 12:30:00,492.15,492.21,491.2301,491.3,473483
2025-07-02 13:00:00,491.29,491.33,490.151,490.235,626789
2025-07-02 13:30:00,490.24,490.59,489.85,490.42,852302
2025-07-02 14:00:00,490.415,490.56,489.96,490.07,446749
2025-07-02 14:30:00,490.04,490.3399,489.79,490.16,546089
2025-07-02 15:00:00,490.19,490.6,489.7,490.21,761926
2025-07-02 15:30:00,490.2,492.03,490.015,490.97,2196479
2025-07-03 09:30:00,493.81,496.3842,493.44,496.075,1944537
2025-07-03 10:00:00,496.07,499.04,496.07,498.2762,2037918
2025-07-03 10:30:00,498.31,498.66,497.568,498.565,934256
2025-07-03 11:00:00,498.55,499.68,498.33,498.43,1511825
2025-07-03 11:30:00,498.45,500.13,498.3247,499.65,1277050
2025-07-03 12:00:00,499.68,499.8,498.83,498.9285,764824
2025-07-03 12:30:00,498.93,499.85,498.23,498.69,1901264
2025-07-03 13:00:00,498.56,499.17,492.93,498.69,5292209
2025-07-03 13:30:00,498.7003,515.6134,498.25,498.3,327445
2025-07-03 14:00:00,498.295,515.6134,497.81,498.31,21397
2025-07-03 14:30:00,498.25,498.5,497.5,498.35,9783
2025-07-03 15:00:00,498.33,498.48,498.05,498.11,5832
2025-07-03 15:30:00,498.125,498.95,496.85,498.1,15781
2025-07-07 09:30:00,497.38,498.39,496.12,497.85,1600509
2025-07-07 10:00:00,497.82,498.065,495.96,497.59,829570
2025-07-07 10:30:00,497.62,498.125,496.97,497.35,733423
2025-07-07 11:00:00,497.34,498.09,497.34,497.84,529144
2025-07-07 11:30:00,497.83,498.59,497.42,498.095,477273
2025-07-07 12:00:00,498.13,498.75,496.4512,497.6,802445
2025-07-07 12:30:00,497.57,498.01,496.575,497.02,444394
2025-07-07 13:00:00,496.965,497.625,496.275,496.45,445541
2025-07-07 13:30:00,496.44,497.41,495.81,496.49,568308
2025-07-07 14:00:00,496.46,496.8892,495.27,495.27,692883
2025-07-07 14:30:00,495.26,497.1199,495.225,497.08,607584
2025-07-07 15:00:00,497.07,497.25,496.425,496.65,573828
2025-07-07 15:30:00,496.645,497.97,496.645,497.83,1517999
2025-07-08 09:30:00,497.24,498.2,496.36,496.47,1286358
2025-07-08 10:00:00,496.55,497.03,495.56,495.95,692839
2025-07-08 10:30:00,495.945,497.14,494.54,495.14,701750
2025-07-08 11:00:00,495.16,496.0,494.11,494.875,835682
2025-07-08 11:30:00,494.84,495.43,494.5401,495.29,423672
2025-07-08 12:00:00,495.295,496.25,495.105,496.0009,322609
2025-07-08 12:30:00,496.0001,496.07,494.69,495.6,410633
2025-07-08 13:00:00,495.5701,495.96,495.18,495.86,361317
2025-07-08 13:30:00,495.97,496.65,495.59,496.59,359960
2025-07-08 14:00:00,496.54,496.63,495.96,496.0275,491345
2025-07-08 14:30:00,496.06,496.3,495.64,496.1368,369081
2025-07-08 15:00:00,496.12,496.12,495.605,496.06,400240
2025-07-08 15:30:00,496.04,496.9,495.7,496.66,1612526
2025-07-09 09:30:00,500.3,505.745,500.08,505.54,3591575
2025-07-09 10:00:00,505.53,506.78,503.57,504.56,2334746
2025-07-09 10:30:00,504.56,504.61,501.5625,502.03,1214726
2025-07-09 11:00:00,502.01,502.245,500.45,501.53,1083774
2025-07-09 11:30:00,501.49,501.62,500.0,500.03,828160
2025-07-09 12:00:00,500.01,501.12,499.74,501.09,860140
2025-07-09 12:30:00,501.08,501.28,500.445,500.5,521660
2025-07-09 13:00:00,500.51,501.6699,500.0,501.47,789912
2025-07-09 13:30:00,501.46,501.9512,501.23,501.66,423824
2025-07-09 14:00:00,501.64,503.1,501.62,502.76,613740
2025-07-09 14:30:00,502.77,502.8,502.32,502.64,679911
2025-07-09 15:00:00,502.62,502.95,502.3,502.32,569950
2025-07-09 15:30:00,502.3009,503.65,502.16,503.48,1968256
2025-07-10 09:30:00,503.05,504.44,500.62,501.37,1948931
2025-07-10 10:00:00,501.31,501.31,498.35,498.54,1357233
2025-07-10 10:30:00,498.5,500.0599,497.75,499.49,934625
2025-07-10 11:00:00,499.505,500.48,499.0,500.065,1004878
2025-07-10 11:30:00,500.1,500.64,499.87,500.355,692080
2025-07-10 12:00:00,500.32,500.3724,499.07,500.275,638541
2025-07-10 12:30:00,500.29,500.6068,499.55,500.15,504898
2025-07-10 13:00:00,500.17,501.04,500.0287,500.915,502942
2025-07-10 13:30:00,500.925,501.8099,500.73,501.295,522342
2025-07-10 14:00:00,501.295,501.785,501.11,501.39,460212
2025-07-10 14:30:00,501.42,502.03,501.22,501.98,552746
2025-07-10 15:00:00,501.965,501.965,501.02,501.55,611542
2025-07-10 15:30:00,501.555,502.185,500.26,501.52,1628908
2025-07-11 09:30:00,498.47,501.14,497.795,501.02,1769667
2025-07-11 10:00:00,501.02,502.39,500.7822,501.5,1007755
2025-07-11 10:30:00,501.47,502.3,501.05,502.0,1402613
2025-07-11 11:00:00,502.0,502.94,501.65,502.79,1042865
2025-07-11 11:30:00,502.76,504.03,502.74,503.9,1006947
2025-07-11 12:00:00,503.9,505.03,503.735,504.66,794291
2025-07-11 12:30:00,504.67,504.75,503.955,504.65,537631
2025-07-11 13:00:00,504.65,504.93,504.35,504.56,469029
2025-07-11 13:30:00,504.53,504.63,503.29,504.12,553614
2025-07-11 14:00:00,504.1,504.62,504.033,504.28,420491
2025-07-11 14:30:00,504.26,504.56,502.91,503.07,596908
2025-07-11 15:00:00,503.05,503.86,502.56,503.4029,604867
2025-07-11 15:30:00,503.3375,504.15,503.07,503.17,2109065
2025-07-14 09:30:00,501.515,502.89,501.03,502.58,1464777
2025-07-14 10:00:00,502.55,502.68,501.21,501.55,889547
2025-07-14 10:30:00,501.59,502.92,501.1,502.86,667788
2025-07-14 11:00:00,502.86,503.97,502.74,503.01,734818
2025-07-14 11:30:00,503.03,503.0599,502.3572,502.93,452428
2025-07-14 12:00:00,502.9486,503.4,502.3327,502.45,442662
2025-07-14 12:30:00,502.46,502.9958,502.3006,502.33,323872
2025-07-14 13:00:00,502.34,503.08,502.16,502.72,427861
2025-07-14 13:30:00,502.73,503.07,502.31,502.71,561902
2025-07-14 14:00:00,502.66,502.9473,502.1671,502.9,517321
2025-07-14 14:30:00,502.91,503.33,502.81,503.07,462253
2025-07-14 15:00:00,503.065,503.5,502.58,502.97,619816
2025-07-14 15:30:00,502.92,503.46,502.8001,502.94,1517664
2025-07-15 09:30:00,503.02,505.65,502.79,505.275,1818808
2025-07-15 10:00:00,505.295,506.29,504.52,505.65,1006226
2025-07-15 10:30:00,505.675,505.675,504.3701,504.825,703535
2025-07-15 11:00:00,504.83,507.28,504.67,507.28,956673
2025-07-15 11:30:00,507.2504,507.39,506.5,507.075,560239
