,open,high,low,close,volume
2025-06-30 09:30:00,158.4,158.4624,156.27,156.52,17735251
2025-06-30 09:45:00,156.52,157.05,155.96,156.63,10238350
2025-06-30 10:00:00,156.62,157.2385,156.53,157.0246,7596915
2025-06-30 10:15:00,157.025,157.1601,156.71,157.1,5224921
2025-06-30 10:30:00,157.11,157.43,156.895,157.295,6794814
2025-06-30 10:45:00,157.2999,157.5,157.16,157.42,4446973
2025-06-30 11:00:00,157.43,157.59,156.8826,157.09,4828721
2025-06-30 11:15:00,157.09,157.13,156.755,157.0499,4524756
2025-06-30 11:30:00,157.05,157.98,156.955,157.915,4872769
2025-06-30 11:45:00,157.92,158.27,157.89,158.0799,5940414
2025-06-30 12:00:00,158.07,158.11,157.68,157.745,4029189
2025-06-30 12:15:00,157.7488,157.84,157.5642,157.709,3566657
2025-06-30 12:30:00,157.7,158.09,157.655,157.73,3448338
2025-06-30 12:45:00,157.73,158.1,157.7,157.99,4244133
2025-06-30 13:00:00,158.0,158.17,157.85,157.875,3484809
2025-06-30 13:15:00,157.88,157.94,157.735,157.8255,2274966
2025-06-30 13:30:00,157.825,157.875,157.6,157.63,1970987
2025-06-30 13:45:00,157.6371,158.11,157.59,157.83,3492659
2025-06-30 14:00:00,157.82,158.025,157.535,157.635,2899955
2025-06-30 14:15:00,157.63,157.83,157.5635,157.5799,2572085
2025-06-30 14:30:00,157.57,157.6,156.84,157.1235,4943560
2025-06-30 14:45:00,157.13,157.8265,157.125,157.745,3896066
2025-06-30 15:00:00,157.75,157.99,157.7,157.815,3435453
2025-06-30 15:15:00,157.81,158.1,157.67,157.945,4473966
2025-06-30 15:30:00,157.945,158.24,157.83,158.1001,5360192
2025-06-30 15:45:00,158.1,158.66,157.86,157.87,13500594
2025-07-01 09:30:00,156.29,157.2,155.76,156.04,12691325
2025-07-01 09:45:00,156.0302,156.51,155.85,156.0508,6730760
2025-07-01 10:00:00,156.04,156.21,155.71,156.0004,6321721
2025-07-01 10:15:00,156.0003,156.3,154.3901,154.625,11843971
2025-07-01 10:30:00,154.635,154.84,153.32,153.378,13509335
2025-07-01 10:45:00,153.3812,153.47,152.83,153.125,11365868
2025-07-01 11:00:00,153.12,153.47,151.5598,151.7101,13282173
2025-07-01 11:15:00,151.705,153.1399,151.49,152.885,10932321
2025-07-01 11:30:00,152.88,153.28,152.225,152.375,8200729
2025-07-01 11:45:00,152.38,152.9899,152.22,152.8184,5228653
2025-07-01 12:00:00,152.82,153.0599,152.35,153.0399,5154520
2025-07-01 12:15:00,153.03,153.49,152.9147,153.395,7199895
2025-07-01 12:30:00,153.395,154.2448,153.3103,153.8547,5205558
2025-07-01 12:45:00,153.85,154.7883,152.745,154.365,6573454
2025-07-01 13:00:00,154.37,154.98,154.3,154.74,5514587
2025-07-01 13:15:00,154.7442,154.975,154.1,154.275,4682639
2025-07-01 13:30:00,154.272,154.495,154.01,154.245,3453417
2025-07-01 13:45:00,154.25,154.88,154.14,154.545,4262847
2025-07-01 14:00:00,154.55,154.71,154.44,154.495,3163453
2025-07-01 14:15:00,154.4955,154.72,154.3202,154.3517,3075042
2025-07-01 14:30:00,154.35,154.64,154.3102,154.4113,2912877
2025-07-01 14:45:00,154.41,154.52,153.47,153.595,4426659
2025-07-01 15:00:00,153.59,153.59,152.9101,153.1569,7376152
2025-07-01 15:15:00,153.155,153.75,153.1,153.73,5094564
