,open,high,low,close,volume
2025-06-30 09:30:00,114.4731,114.6527,113.086,114.1238,70797
2025-06-30 10:00:00,114.1936,114.4182,113.7346,114.281,55854
2025-06-30 10:30:00,114.2685,114.2685,113.0161,113.6547,39286
2025-06-30 11:00:00,113.8344,113.9342,113.4501,113.6198,32761
2025-06-30 11:30:00,113.6023,114.1437,113.555,113.7545,62288
2025-06-30 12:00:00,113.7645,113.954,113.6248,113.7945,24516
2025-06-30 12:30:00,113.7246,113.9841,113.535,113.9092,29242
2025-06-30 13:00:00,113.9142,114.5629,113.8544,114.4731,36772
2025-06-30 13:30:00,114.4232,114.7325,113.7845,114.019,35977
2025-06-30 14:00:00,114.034,114.483,114.034,114.3433,43235
2025-06-30 14:30:00,114.4119,114.4119,114.227,114.2635,34829
2025-06-30 15:00:00,114.2635,114.3733,114.004,114.014,51403
2025-06-30 15:30:00,114.034,114.2535,113.8643,113.9441,196106
2025-07-01 09:30:00,113.2955,115.2914,113.2855,115.0169,82655
2025-07-01 10:00:00,115.1517,117.5068,115.0169,117.4968,143041
2025-07-01 10:30:00,117.4768,118.6843,117.3606,118.355,185809
2025-07-01 11:00:00,118.2253,119.7521,118.0856,119.323,233986
2025-07-01 11:30:00,119.4827,120.6303,119.2132,120.281,127663
2025-07-01 12:00:00,120.3609,121.3388,120.2611,120.8149,93452
2025-07-01 12:30:00,120.8149,120.8898,118.6444,118.7342,346966
2025-07-01 13:00:00,118.7542,119.3272,118.4548,119.0835,143853
2025-07-01 13:30:00,119.0037,119.1843,118.6594,118.824,103664
2025-07-01 14:00:00,118.9438,119.353,118.5047,119.313,95489
2025-07-01 14:30:00,119.2831,119.5226,119.0137,119.2532,120853
2025-07-01 15:00:00,119.2232,119.2432,118.5247,118.8839,134265
2025-07-01 15:30:00,118.8739,118.8739,117.6764,117.7862,432816
2025-07-02 09:30:00,118.4548,119.5818,117.7363,118.2452,223820
2025-07-02 10:00:00,118.4748,118.54,117.4569,118.4698,106325
2025-07-02 10:30:00,118.5746,119.313,118.1005,118.8141,115913
2025-07-02 11:00:00,118.9438,120.2212,118.7742,120.0715,115217
2025-07-02 11:30:00,120.0315,120.1321,119.802,120.0415,76081
2025-07-02 12:00:00,120.0066,120.0066,119.2132,119.2687,144071
2025-07-02 12:30:00,119.313,119.7471,119.2532,119.5925,94981
2025-07-02 13:00:00,119.5925,119.7322,119.2831,119.5925,77212
2025-07-02 13:30:00,119.5476,120.4407,119.4727,120.4407,95378
2025-07-02 14:00:00,120.4407,120.4507,119.8819,119.9717,127557
2025-07-02 14:30:00,120.0864,120.5006,119.9018,120.4004,78006
2025-07-02 15:00:00,120.4307,121.1792,120.0715,120.0715,217753
2025-07-02 15:30:00,120.0715,120.311,119.2731,120.0216,547754
2025-07-03 09:30:00,119.9318,120.3408,117.5966,118.8739,166931
2025-07-03 10:00:00,118.8341,119.5625,117.9699,118.2752,124374
2025-07-03 10:30:00,118.1641,118.7537,117.9359,118.38,112933
2025-07-03 11:00:00,118.2951,118.4748,117.305,117.525,100268
2025-07-03 11:30:00,117.5966,117.9159,117.2673,117.4669,86255
2025-07-03 12:00:00,117.397,117.4818,116.908,117.2024,125510
2025-07-03 12:30:00,117.2024,117.5766,116.9679,117.5168,259560
2025-07-03 13:00:00,117.4818,117.6066,116.7883,117.5267,396300
2025-07-03 13:30:00,117.407,117.5467,116.7583,116.764,2228
2025-07-03 14:00:00,117.3072,117.5068,116.8282,117.5068,571
2025-07-03 14:30:00,117.4968,117.4968,117.1325,117.1325,26
2025-07-03 15:00:00,117.4768,117.4768,116.7655,116.7655,5
2025-07-03 15:30:00,117.5467,117.5467,117.4767,117.4768,131256
2025-07-07 09:30:00,117.2074,117.9159,115.97,116.6186,90518
2025-07-07 10:00:00,116.5887,117.2573,116.2194,116.2693,48747
2025-07-07 10:30:00,116.449,116.7883,115.9999,116.3791,45903
2025-07-07 11:00:00,116.5188,116.5288,115.7055,115.7853,64445
2025-07-07 11:30:00,115.7853,116.1995,115.6706,115.8003,43825
2025-07-07 12:00:00,115.8103,116.0997,115.2215,115.6806,42871
2025-07-07 12:30:00,115.8003,115.8103,115.3213,115.3213,27158
2025-07-07 13:00:00,115.471,115.8486,115.3482,115.7953,24560
2025-07-07 13:30:00,115.7404,115.9101,115.3712,115.5508,37214
2025-07-07 14:00:00,115.6406,115.7979,114.8722,115.4411,34536
2025-07-07 14:30:00,115.4361,116.1845,115.3313,116.1596,49671
2025-07-07 15:00:00,116.1496,116.1895,115.5708,115.5808,78073
2025-07-07 15:30:00,115.6107,116.2194,115.6007,116.1097,232867
2025-07-08 09:30:00,115.8402,117.0577,115.5359,115.7754,59822
2025-07-08 10:00:00,115.7155,116.429,115.0718,116.1296,143450
2025-07-08 10:30:00,116.2993,117.1775,116.2394,117.0377,58420
2025-07-08 11:00:00,117.0502,117.8651,116.8032,116.8831,71293
2025-07-08 11:30:00,116.9111,117.387,116.9111,117.2673,48990
2025-07-08 12:00:00,117.2673,117.5966,116.7982,117.5367,32856
2025-07-08 12:30:00,117.5766,117.9558,117.0477,117.1775,61156
2025-07-08 13:00:00,117.0477,117.2174,116.7483,116.918,38424
2025-07-08 13:30:00,116.8681,117.3215,116.6585,117.2323,59710
2025-07-08 14:00:00,117.1974,117.8261,117.1924,117.323,34356
2025-07-08 14:30:00,117.4968,117.7662,117.4369,117.5866,35842
2025-07-08 15:00:00,117.6165,117.8261,117.5267,117.6764,63774
2025-07-08 15:30:00,117.6365,117.7263,116.7883,116.8082,293619
2025-07-09 09:30:00,117.5567,119.8918,117.4669,119.6573,89332
2025-07-09 10:00:00,119.812,120.3708,119.0902,119.2931,112900
2025-07-09 10:30:00,119.4328,119.8719,119.1234,119.2107,180012
2025-07-09 11:00:00,119.1633,119.4627,118.6344,118.9338,145692
2025-07-09 11:30:00,118.9737,119.1933,118.859,119.1484,99585
2025-07-09 12:00:00,119.1035,119.65,119.0685,119.4627,126002
2025-07-09 12:30:00,119.4232,119.792,119.1833,119.7521,148243
2025-07-09 13:00:00,119.7521,120.281,119.6523,120.1064,159807
2025-07-09 13:30:00,120.1064,120.9695,120.1064,120.4008,167995
2025-07-09 14:00:00,120.4008,121.2233,120.1014,120.1014,141329
2025-07-09 14:30:00,120.1363,120.5854,120.1014,120.3659,87316
2025-07-09 15:00:00,120.3708,120.6104,120.1114,120.5994,115497
2025-07-09 15:30:00,120.6004,121.7688,120.4767,121.1393,472817
2025-07-10 09:30:00,121.2291,122.222,120.7501,122.0474,146980
2025-07-10 10:00:00,122.1023,123.0337,121.9576,122.6761,124311
2025-07-10 10:30:00,122.5164,123.0623,122.267,122.7734,94392
2025-07-10 11:00:00,122.6761,123.4545,122.4765,122.5563,93967
2025-07-10 11:30:00,122.4565,122.6262,122.0673,122.5064,60920
2025-07-10 12:00:00,122.4366,122.6511,122.3168,122.4865,93120
2025-07-10 12:30:00,122.3917,122.6262,122.1971,122.3268,68849
2025-07-10 13:00:00,122.1571,123.0204,121.808,122.8956,74261
2025-07-10 13:30:00,122.8956,123.1351,122.6661,122.8657,78117
